        { x: 3249, y: 3795 }, { x: 3132, y: 3818 }, { x: 3014, y: 3839 }, { x: 2895, y: 3853 }, { x: 2775, y: 3859 }, { x: 2655, y: 3858 },
        { x: 2536, y: 3849 }, { x: 2417, y: 3833 }, { x: 2300, y: 3810 }, { x: 2184, y: 3779 }, { x: 2070, y: 3740 }, { x: 1958, y: 3698 },
        { x: 1846, y: 3655 }, { x: 1735, y: 3612 }, { x: 1623, y: 3570 }, { x: 1511, y: 3527 }, { x: 1399, y: 3485 }, { x: 1287, y: 3440 },
        { x: 1180, y: 3386 }, { x: 1079, y: 3322 }, { x: 985, y: 3249 }, { x: 897, y: 3166 }, { x: 819, y: 3076 }, { x: 749, y: 2979 },
        { x: 688, y: 2875 }, { x: 638, y: 2767 }, { x: 599, y: 2654 }, { x: 570, y: 2537 }, { x: 553, y: 2419 }, { x: 540, y: 2300 },
        { x: 514, y: 2183 }, { x: 462, y: 2075 }, { x: 401, y: 1972 }, { x: 340, y: 1869 }, { x: 278, y: 1766 }, { x: 233, y: 1655 },
        { x: 220, y: 1537 }, { x: 240, y: 1419 }, { x: 292, y: 1311 }, { x: 371, y: 1222 }, { x: 472, y: 1158 }, { x: 586, y: 1119 },
        { x: 700, y: 1083 }, { x: 814, y: 1047 }, { x: 928, y: 1011 }, { x: 1043, y: 975 }, { x: 1157, y: 939 }, { x: 1271, y: 903 },
        { x: 1383, y: 859 }, { x: 1482, y: 792 }, { x: 1566, y: 707 }, { x: 1648, y: 620 }, { x: 1730, y: 532 }, { x: 1812, y: 445 },
        { x: 1894, y: 358 }, { x: 1986, y: 282 }, { x: 2096, y: 235 }, { x: 2215, y: 220 }, { x: 2333, y: 240 }, { x: 2441, y: 290 },
        { x: 2546, y: 347 }, { x: 2651, y: 405 }, { x: 2757, y: 462 }, { x: 2862, y: 520 }, { x: 2967, y: 577 }, { x: 3072, y: 634 },
        { x: 3177, y: 692 }, { x: 3283, y: 749 }, { x: 3398, y: 776 }, { x: 3515, y: 751 }, { x: 3628, y: 713 }, { x: 3742, y: 675 },
        { x: 3855, y: 636 }, { x: 3969, y: 598 }, { x: 4083, y: 560 }, { x: 4196, y: 522 }, { x: 4310, y: 484 }, { x: 4423, y: 446 },
        { x: 4542, y: 429 }, { x: 4660, y: 449 }, { x: 4766, y: 502 }, { x: 4853, y: 584 }, { x: 4911, y: 688 }, { x: 4945, y: 803 },
        { x: 4978, y: 918 }, { x: 5026, y: 1028 }, { x: 5106, y: 1117 }, { x: 5209, y: 1177 }, { x: 5322, y: 1216 }, { x: 5436, y: 1254 },
        { x: 5549, y: 1292 }, { x: 5663, y: 1330 }, { x: 5777, y: 1368 }, { x: 5889, y: 1410 }, { x: 5994, y: 1467 }, { x: 6091, y: 1537 },
        { x: 6177, y: 1621 }, { x: 6250, y: 1715 }, { x: 6310, y: 1819 }, { x: 6354, y: 1931 }, { x: 6382, y: 2047 }, { x: 6394, y: 2166 },
        { x: 6390, y: 2286 }, { x: 6369, y: 2403 }, { x: 6335, y: 2518 }, { x: 6283, y: 2626 }, { x: 6213, y: 2723 }, { x: 6129, y: 2808 },
        { x: 6040, y: 2889 }, { x: 5952, y: 2970 }, { x: 5863, y: 3050 }, { x: 5774, y: 3131 }, { x: 5682, y: 3207 }, { x: 5582, y: 3273 },
        { x: 5475, y: 3328 }, { x: 5364, y: 3372 }, { x: 5248, y: 3403 }, { x: 5131, y: 3427 }, { x: 5013, y: 3450 }, { x: 4896, y: 3473 },
        { x: 4778, y: 3496 }, { x: 4661, y: 3519 }, { x: 4543, y: 3542 }, { x: 4425, y: 3565 }, { x: 4308, y: 3588 }, { x: 4190, y: 3611 },
        { x: 4073, y: 3634 }, { x: 3955, y: 3657 }, { x: 3837, y: 3680 }, { x: 3720, y: 3703 }, { x: 3602, y: 3726 }, { x: 3485, y: 3749 },
        { x: 3367, y: 3772 },
