        { x: 24667, y: 6360 }, { x: 24715, y: 6492 }, { x: 24762, y: 6623 }, { x: 24810, y: 6755 }, { x: 24857, y: 6886 }, { x: 24905, y: 7018 },
        { x: 24953, y: 7149 }, { x: 25005, y: 7279 }, { x: 25058, y: 7409 }, { x: 25110, y: 7538 }, { x: 25163, y: 7668 }, { x: 25216, y: 7797 },
        { x: 25269, y: 7927 }, { x: 25321, y: 8057 }, { x: 25374, y: 8186 }, { x: 25427, y: 8316 }, { x: 25480, y: 8445 }, { x: 25532, y: 8575 },
        { x: 25585, y: 8705 }, { x: 25638, y: 8834 }, { x: 25687, y: 8965 }, { x: 25729, y: 9098 }, { x: 25764, y: 9234 }, { x: 25792, y: 9371 },
        { x: 25812, y: 9509 }, { x: 25825, y: 9649 }, { x: 25830, y: 9789 }, { x: 25827, y: 9928 }, { x: 25817, y: 10068 }, { x: 25800, y: 10207 },
        { x: 25775, y: 10344 }, { x: 25743, y: 10481 }, { x: 25704, y: 10615 }, { x: 25657, y: 10747 }, { x: 25603, y: 10876 }, { x: 25543, y: 11002 },
        { x: 25476, y: 11125 }, { x: 25409, y: 11248 }, { x: 25341, y: 11370 }, { x: 25273, y: 11493 }, { x: 25206, y: 11615 }, { x: 25138, y: 11738 },
        { x: 25071, y: 11860 }, { x: 25003, y: 11983 }, { x: 24937, y: 12106 }, { x: 24880, y: 12234 }, { x: 24836, y: 12366 }, { x: 24804, y: 12503 },
        { x: 24784, y: 12641 }, { x: 24765, y: 12780 }, { x: 24746, y: 12918 }, { x: 24726, y: 13057 }, { x: 24707, y: 13195 }, { x: 24688, y: 13334 },
        { x: 24669, y: 13473 }, { x: 24650, y: 13611 }, { x: 24631, y: 13750 }, { x: 24611, y: 13888 }, { x: 24590, y: 14026 }, { x: 24559, y: 14163 },
        { x: 24520, y: 14297 }, { x: 24472, y: 14429 }, { x: 24417, y: 14557 }, { x: 24353, y: 14682 }, { x: 24281, y: 14802 }, { x: 24202, y: 14917 },
        { x: 24116, y: 15027 }, { x: 24023, y: 15132 }, { x: 23923, y: 15230 }, { x: 23818, y: 15322 }, { x: 23706, y: 15407 }, { x: 23590, y: 15484 },
        { x: 23469, y: 15554 }, { x: 23345, y: 15618 }, { x: 23220, y: 15682 }, { x: 23096, y: 15746 }, { x: 22971, y: 15810 }, { x: 22847, y: 15874 },
        { x: 22722, y: 15938 }, { x: 22598, y: 16001 }, { x: 22473, y: 16065 }, { x: 22349, y: 16129 }, { x: 22224, y: 16193 }, { x: 22100, y: 16257 },
