        { x: 3285, y: 2927 }, { x: 3168, y: 2956 }, { x: 3051, y: 2985 }, { x: 2934, y: 3014 }, { x: 2817, y: 3043 }, { x: 2700, y: 3072 },
        { x: 2583, y: 3101 }, { x: 2465, y: 3126 }, { x: 2345, y: 3142 }, { x: 2225, y: 3148 }, { x: 2104, y: 3144 }, { x: 1984, y: 3131 },
        { x: 1866, y: 3108 }, { x: 1750, y: 3076 }, { x: 1636, y: 3035 }, { x: 1524, y: 2992 }, { x: 1411, y: 2950 }, { x: 1298, y: 2907 },
        { x: 1185, y: 2865 }, { x: 1072, y: 2822 }, { x: 962, y: 2775 }, { x: 858, y: 2714 }, { x: 763, y: 2639 }, { x: 680, y: 2552 },
        { x: 608, y: 2455 }, { x: 550, y: 2350 }, { x: 507, y: 2237 }, { x: 479, y: 2120 }, { x: 467, y: 2000 }, { x: 454, y: 1880 },
        { x: 413, y: 1767 }, { x: 345, y: 1668 }, { x: 274, y: 1570 }, { x: 231, y: 1458 }, { x: 221, y: 1339 }, { x: 244, y: 1221 },
        { x: 298, y: 1114 }, { x: 381, y: 1026 }, { x: 484, y: 965 }, { x: 596, y: 920 }, { x: 708, y: 876 }, { x: 820, y: 831 },
        { x: 932, y: 787 }, { x: 1043, y: 739 }, { x: 1145, y: 675 }, { x: 1247, y: 610 }, { x: 1348, y: 544 }, { x: 1449, y: 479 },
        { x: 1550, y: 413 }, { x: 1652, y: 348 }, { x: 1757, y: 289 }, { x: 1870, y: 248 }, { x: 1988, y: 225 }, { x: 2109, y: 221 },
        { x: 2228, y: 236 }, { x: 2344, y: 269 }, { x: 2453, y: 320 }, { x: 2561, y: 375 }, { x: 2668, y: 429 }, { x: 2776, y: 484 },
        { x: 2883, y: 538 }, { x: 2991, y: 593 }, { x: 3098, y: 647 }, { x: 3212, y: 688 }, { x: 3331, y: 704 }, { x: 3451, y: 718 },
        { x: 3571, y: 733 }, { x: 3690, y: 747 }, { x: 3810, y: 761 }, { x: 3930, y: 775 }, { x: 4049, y: 789 }, { x: 4169, y: 804 },
        { x: 4286, y: 832 }, { x: 4397, y: 879 }, { x: 4498, y: 945 }, { x: 4587, y: 1026 }, { x: 4660, y: 1122 }, { x: 4717, y: 1228 },
        { x: 4767, y: 1338 }, { x: 4804, y: 1453 }, { x: 4826, y: 1571 }, { x: 4833, y: 1691 }, { x: 4824, y: 1812 }, { x: 4800, y: 1930 },
        { x: 4761, y: 2044 }, { x: 4708, y: 2152 }, { x: 4642, y: 2252 }, { x: 4566, y: 2346 }, { x: 4489, y: 2440 }, { x: 4407, y: 2528 },
        { x: 4314, y: 2604 }, { x: 4212, y: 2668 }, { x: 4103, y: 2718 }, { x: 3987, y: 2754 }, { x: 3870, y: 2783 }, { x: 3753, y: 2812 },
        { x: 3636, y: 2841 }, { x: 3519, y: 2870 }, { x: 3402, y: 2898 },
